work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_in_gbp,job_title_grouped,employee_residence_grouped,company_location_grouped
2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L,63526.78,Other,ES,ES
2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,S,22200.0,Other,US,US
2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,S,18870.0,Other,US,US
2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M,129500.0,Data Scientist,CA,CA
2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,M,88800.0,Data Scientist,CA,CA
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,164428.0,Applied Scientist,US,US
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,100640.0,Applied Scientist,US,US
2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M,162060.0,Data Scientist,CA,CA
2023,SE,FT,Data Scientist,141000,USD,141000,CA,0,CA,M,104340.0,Data Scientist,CA,CA
2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M,108854.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M,67118.0,Data Scientist,US,US
2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M,96200.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,74000.0,Data Analyst,US,US
2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L,158108.4,Applied Scientist,US,US
2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L,96762.4,Applied Scientist,US,US
2023,SE,FT,Data Modeler,147100,USD,147100,US,0,US,M,108854.0,Other,US,US
2023,SE,FT,Data Modeler,90700,USD,90700,US,0,US,M,67118.0,Other,US,US
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,125800.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,111000.0,Data Scientist,US,US
2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M,111000.0,Data Analyst,US,US
2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M,81400.0,Data Analyst,US,US
2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,M,203500.0,Research Engineer,DE,DE
2023,SE,FT,Research Engineer,174000,USD,174000,DE,0,DE,M,128760.0,Research Engineer,DE,DE
